土地區段位置或建物區門牌,lng,lat,cluster
臺北市文山區試院路4巷1號,121.55,24.98837,2
臺北市信義區永吉路278巷27弄1號,121.5744,25.04467,4
臺北市信義區忠孝東路四段559巷16弄1號,121.5638,25.04242,1
臺北市大安區四維路182巷1號,121.5479,25.0276,3
臺北市大安區東豐街31號,121.5459,25.03614,3
臺北市大安區大安路一段19巷1號,121.5458,25.0399,3
臺北市大安區仁愛路三段91號,121.5391,25.03768,3
臺北市中正區濟南路二段31號,121.5288,25.04106,3
臺北市士林區磺溪街50巷1號,121.5233,25.10709,4
臺北市中正區臨沂街1號,121.531,25.04346,3
臺北市信義區忠孝東路四段553巷16弄1號,121.5631,25.04284,1
臺北市北投區中央南路一段121號,121.5012,25.13033,4
臺北市內湖區大湖山莊街91號,121.6019,25.0853,2
臺北市大安區四維路52巷1號,121.548,25.03512,3
臺北市大安區安和路一段127巷29弄1號,121.5539,25.03526,3
臺北市松山區光復北路121號,121.5579,25.05099,3
臺北市松山區南京東路四段52巷1號,121.5537,25.05117,3
臺北市大安區延吉街70巷5弄1號,121.5538,25.04231,3
臺北市松山區敦化北路199巷2弄1號,121.55,25.05569,3
臺北市信義區松山路336巷1號,121.5775,25.04167,4
臺北市大安區師大路93巷1號,121.5286,25.02301,1
臺北市大安區樂業街121號,121.5526,25.02059,1
臺北市中山區雙城街12巷1號,121.5245,25.06301,3
臺北市大安區復興南路二段301號,121.5437,25.02426,3
臺北市中山區樂群二路181號,121.5591,25.07996,1
臺北市士林區德行東路61號,121.5254,25.10636,4
臺北市中正區和平西路一段91號,121.518,25.02676,3
臺北市信義區永吉路443巷7弄1號,121.5784,25.04647,3
臺北市中正區仁愛路二段1號,121.5256,25.0385,3
臺北市信義區基隆路一段147巷5弄31號,121.5664,25.04303,3
臺北市士林區至善路二段421巷1號,121.5565,25.1066,2
臺北市信義區莊敬路289巷5弄1號,121.5635,25.02924,3
臺北市中山區明水路481號,121.5517,25.07807,1
臺北市松山區八德路四段106巷6弄1號,121.561,25.04726,3
臺北市內湖區大湖山莊街23巷1號,121.603,25.08412,2
臺北市士林區中山北路六段751號,121.5279,25.1155,1
